/home/ec2-user/venv/lib64/python3.9/site-packages/boto3/compat.py:89: PythonDeprecationWarning: Boto3 will no longer support Python 3.9 starting April 29, 2026. To continue receiving service updates, bug fixes, and security updates please upgrade to Python 3.10 or later. More information can be found here: https://aws.amazon.com/blogs/developer/python-support-policy-updates-for-aws-sdks-and-tools/
  warnings.warn(warning, PythonDeprecationWarning)
Connected to Coinbase WebSocket
Sent: BTC-USD | $64051.01 (Buffer: 5/100)
Sent: BTC-USD | $64051.0 (Buffer: 6/100)
Sent: BTC-USD | $64051.0 (Buffer: 7/100)
Sent: BTC-USD | $64051.0 (Buffer: 8/100)
Sent: BTC-USD | $64051.0 (Buffer: 9/100)
Sent: BTC-USD | $64051.0 (Buffer: 10/100)
Sent: BTC-USD | $64051.0 (Buffer: 11/100)
Sent: BTC-USD | $64051.0 (Buffer: 12/100)
Sent: BTC-USD | $64051.0 (Buffer: 13/100)
Sent: BTC-USD | $64051.0 (Buffer: 14/100)
Sent: BTC-USD | $64051.0 (Buffer: 15/100)
Sent: BTC-USD | $64051.0 (Buffer: 16/100)
Sent: BTC-USD | $64051.0 (Buffer: 17/100)
Sent: BTC-USD | $64052.41 (Buffer: 18/100)
Sent: BTC-USD | $64052.41 (Buffer: 19/100)
Sent: BTC-USD | $64052.41 (Buffer: 20/100)
Sent: BTC-USD | $64052.41 (Buffer: 21/100)
Sent: BTC-USD | $64052.41 (Buffer: 22/100)
Sent: BTC-USD | $64052.41 (Buffer: 23/100)
Sent: BTC-USD | $64052.41 (Buffer: 24/100)
Sent: ETH-USD | $1857.3 (Buffer: 25/100)
Sent: BTC-USD | $64052.42 (Buffer: 26/100)
Sent: BTC-USD | $64052.42 (Buffer: 27/100)
Sent: BTC-USD | $64054.46 (Buffer: 28/100)
Sent: SOL-USD | $73.84 (Buffer: 29/100)
Sent: BTC-USD | $64054.46 (Buffer: 30/100)
Sent: SOL-USD | $73.84 (Buffer: 31/100)
Sent: BTC-USD | $64044.64 (Buffer: 32/100)
Sent: BTC-USD | $64044.64 (Buffer: 33/100)
Sent: BTC-USD | $64039.83 (Buffer: 34/100)
Sent: SOL-USD | $73.84 (Buffer: 35/100)
Sent: SOL-USD | $73.84 (Buffer: 36/100)
Sent: SOL-USD | $73.84 (Buffer: 37/100)
Sent: ETH-USD | $1857.0 (Buffer: 38/100)
Sent: ETH-USD | $1856.79 (Buffer: 39/100)
Sent: BTC-USD | $64039.55 (Buffer: 40/100)
Sent: BTC-USD | $64039.55 (Buffer: 41/100)
Sent: BTC-USD | $64039.55 (Buffer: 42/100)
Sent: ETH-USD | $1856.92 (Buffer: 43/100)
Sent: ETH-USD | $1856.85 (Buffer: 44/100)
Sent: BTC-USD | $64039.55 (Buffer: 45/100)
Sent: ETH-USD | $1856.8 (Buffer: 46/100)
Sent: BTC-USD | $64039.55 (Buffer: 47/100)
Sent: BTC-USD | $64039.55 (Buffer: 48/100)
Sent: BTC-USD | $64039.55 (Buffer: 49/100)
Sent: BTC-USD | $64039.55 (Buffer: 50/100)
📦 Flushed 50 trades to S3: raw_batch/batch_20260725_124840_50.json
Sent: BTC-USD | $64039.55 (Buffer: 1/100)
Sent: BTC-USD | $64039.55 (Buffer: 2/100)
Sent: BTC-USD | $64039.55 (Buffer: 3/100)
Sent: BTC-USD | $64039.55 (Buffer: 4/100)
Sent: BTC-USD | $64039.55 (Buffer: 5/100)
Sent: BTC-USD | $64039.55 (Buffer: 6/100)
Sent: BTC-USD | $64039.55 (Buffer: 7/100)
Sent: ETH-USD | $1856.83 (Buffer: 8/100)
Sent: BTC-USD | $64038.01 (Buffer: 9/100)
Sent: ETH-USD | $1856.76 (Buffer: 10/100)
Sent: SOL-USD | $73.83 (Buffer: 11/100)
Sent: DOGE-USD | $0.06958 (Buffer: 12/100)
Sent: BTC-USD | $64038.01 (Buffer: 13/100)
Sent: BTC-USD | $64038.01 (Buffer: 14/100)
Sent: BTC-USD | $64038.01 (Buffer: 15/100)
Sent: BTC-USD | $64038.01 (Buffer: 16/100)
Sent: BTC-USD | $64038.01 (Buffer: 17/100)
Sent: BTC-USD | $64038.01 (Buffer: 18/100)
Sent: BTC-USD | $64038.01 (Buffer: 19/100)
Sent: BTC-USD | $64038.01 (Buffer: 20/100)
Sent: BTC-USD | $64034.99 (Buffer: 21/100)
Sent: BTC-USD | $64034.99 (Buffer: 22/100)
Sent: BTC-USD | $64034.99 (Buffer: 23/100)
Sent: BTC-USD | $64034.99 (Buffer: 24/100)
Sent: BTC-USD | $64034.99 (Buffer: 25/100)
Sent: BTC-USD | $64034.99 (Buffer: 26/100)
Sent: BTC-USD | $64034.99 (Buffer: 27/100)
Sent: ETH-USD | $1856.82 (Buffer: 28/100)
Sent: BTC-USD | $64035.0 (Buffer: 29/100)
Sent: BTC-USD | $64034.99 (Buffer: 30/100)
Sent: BTC-USD | $64034.99 (Buffer: 31/100)
Sent: ETH-USD | $1856.74 (Buffer: 32/100)
Sent: BTC-USD | $64034.99 (Buffer: 33/100)
Sent: BTC-USD | $64035.0 (Buffer: 34/100)
